Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"BATTISTI, DAVID",15891,56,38,109,86
"GLOYD, STEPHEN",NA,NA,NA,NA,NA
"MIZUMORI, SHERI",NA,NA,NA,NA,NA
"ANDERSON, ROBERT",NA,NA,NA,NA,NA
"EICHER, THEO",2949,27,20,39,26
"ZAGOTTA, WILLIAM",NA,NA,NA,NA,NA
"AKEY, JOSHUA",NA,NA,NA,NA,NA
"BROWN, ZANE",NA,NA,NA,NA,NA
"HARTMANN, DENNIS",23278,72,45,154,108
"SCOTT, ELAINE",NA,NA,NA,NA,NA
"RANSOM, BRUCE",18040,78,33,179,83
"KESSLER, LARRY",NA,NA,NA,NA,NA
"TURCK, MARVIN",NA,NA,NA,NA,NA
"ATLAS, LES",8792,43,21,115,46
"SAVAGE, MARTIN",14948,68,35,167,97
"SCHINDLER, DANIEL",14905,62,43,149,123
"DOORENBOS, ARDITH",NA,NA,NA,NA,NA
"MAHONEY, JOE",NA,NA,NA,NA,NA
"FAUSTMAN, ELAINE",NA,NA,NA,NA,NA
"DALE, DAVID",NA,NA,NA,NA,NA
"SHUMLAK, URI",1468,22,13,32,22
"STORM, DANIEL",NA,NA,NA,NA,NA
"KARLIN, ANNA",12703,48,26,77,55
"KLEVIT, RACHEL",NA,NA,NA,NA,NA
"KAEBERLEIN, MATT",19102,55,46,132,122
"DAGGETT, VALERIE",NA,NA,NA,NA,NA
"GOLDBERG, KAREN",NA,NA,NA,NA,NA
"THOMPSON, ELIZABETH",340,7,5,6,5
"STEINER, ROBERT",22024,73,40,172,80
"WAKEFIELD, JONATHAN",9468,53,30,122,83
"GARDINER, STEPHEN",NA,NA,NA,NA,NA
"DROBNY, GARY",NA,NA,NA,NA,NA
"BENNETT, WALTER",NA,NA,NA,NA,NA
"PATRICK, DONALD",59495,120,66,375,261
"HOOYMAN, NANCY",NA,NA,NA,NA,NA
"TRUELOVE, EDMOND",NA,NA,NA,NA,NA
"DERMISI, SOFIA",NA,NA,NA,NA,NA
"MAMISHEV, ALEXANDER",NA,NA,NA,NA,NA
"HOUZE, ROBERT",25533,84,46,189,150
"ALLARD, SCOTT",NA,NA,NA,NA,NA
"ROBERTSON, R",87,4,4,2,2
"HOPKINS, PAUL",NA,NA,NA,NA,NA
"ANDERSON, RICHARD",8140,47,20,143,60
"PROMISLOW, DANIEL",NA,NA,NA,NA,NA
"KATTI, RAJENDRA",NA,NA,NA,NA,NA
"GLEASON, CHRISTINE",NA,NA,NA,NA,NA
"DAVIS, CAROL",NA,NA,NA,NA,NA
"KIM, CHANG",8380,28,20,39,35
"DACEY, DENNIS",8149,45,26,65,43
"RAO, RAJESH",13313,54,37,125,90
"CONRAD, ERNEST",NA,NA,NA,NA,NA
"FENSKE, RICHARD",NA,NA,NA,NA,NA
"MORROW, JAMES",NA,NA,NA,NA,NA
"RHINES, PETER",NA,NA,NA,NA,NA
"FABIEN, BRIAN",NA,NA,NA,NA,NA
"PRAKASH, ASEEM",NA,NA,NA,NA,NA
"BLAKE, MICHAEL",1233,16,12,21,14
"WOODS, NANCY",NA,NA,NA,NA,NA
"BRUCE, JAMES",NA,NA,NA,NA,NA
"HERTZOG, DAVID",7713,35,18,61,24
"ANANTRAM, MANJERI",NA,NA,NA,NA,NA
"KELLY, LISA",NA,NA,NA,NA,NA
"FRIEDMAN, BATYA",7681,43,32,72,54
"RIES, RICHARD",NA,NA,NA,NA,NA
"BELLAMY, GEORGE",NA,NA,NA,NA,NA
"RILEY, JAMES",9349,42,21,85,41
"DRANGSHOLT, MARK",NA,NA,NA,NA,NA
"MITCHELL, KATHARYNE",NA,NA,NA,NA,NA
"WHITE, HAROLD",NA,NA,NA,NA,NA
"AGOL, ERIC",13717,60,47,137,114
"STELLA, NEPHI",NA,NA,NA,NA,NA
"MASS, CLIFFORD",7272,49,25,97,61
"HICKS, GREGORY",NA,NA,NA,NA,NA
"SIMONI, JANE",12077,62,44,146,126
"SOKOURENKO, EVGUENI",NA,NA,NA,NA,NA
"HOLLAND, ALAN",NA,NA,NA,NA,NA
"ODEGARD, PEGGY",NA,NA,NA,NA,NA
"PECK, CHARLES",NA,NA,NA,NA,NA
"DRTON, MATHIAS",3198,25,20,43,30
"LIN, KUEN-YUAN",NA,NA,NA,NA,NA
"CAO, GUOZHONG",28466,82,68,332,305
"PERKEL, DAVID",8697,41,26,68,59
"LIVNE, ELI",NA,NA,NA,NA,NA
"ALLEN, DAVID",NA,NA,NA,NA,NA
"MAMIDALA, RAMULU",6395,44,30,129,80
"REDDY, SANJAY",9572,41,29,66,51
"BALDWIN, LAURA",NA,NA,NA,NA,NA
"ATMAN, CYNTHIA",NA,NA,NA,NA,NA
"BAKER, JOEL",NA,NA,NA,NA,NA
"BEAME, PAUL",5618,39,22,87,45
"COSTA, LUCIO",NA,NA,NA,NA,NA
"NOBLE, WILLIAM",34316,77,55,186,154
"LEWIS, FRANCES",NA,NA,NA,NA,NA
"DELUCA, THOMAS",NA,NA,NA,NA,NA
"NELSON, ANN",22195,62,36,114,68
"WINGLEE, ROBERT",NA,NA,NA,NA,NA
"HO, RODNEY",NA,NA,NA,NA,NA
"CROWDER, KYLE",5785,41,30,52,49
"GUNDLACH, JENS",NA,NA,NA,NA,NA
"LOMBARDI, CLARK",535,11,10,11,10
"BOYLE, LINDA",2783,30,25,51,44
"PARRISH, JULIA",NA,NA,NA,NA,NA
"ARDUINO, PEDRO",NA,NA,NA,NA,NA
